cruise,type::cruise,datatype::cruise,xml:lang::cruise,cruise_id,type::cruise_id,datatype::cruise_id,xml:lang::cruise_id,doi,type::doi,datatype::doi,xml:lang::doi
http://data.rvdata.us/id/cruise/CNTL11RR,uri,,,CNTL11RR,literal,,,10.7284/904595,literal,,
http://data.rvdata.us/id/cruise/EW9507,uri,,,EW9507,literal,,,10.7284/901339,literal,,
http://data.rvdata.us/id/cruise/HOT-001,uri,,,HOT-001,literal,,,10.7284/906970,literal,,
http://data.rvdata.us/id/cruise/HOT-002,uri,,,HOT-002,literal,,,10.7284/906971,literal,,
http://data.rvdata.us/id/cruise/HOT-003,uri,,,HOT-003,literal,,,10.7284/906972,literal,,
http://data.rvdata.us/id/cruise/HOT-004,uri,,,HOT-004,literal,,,10.7284/906973,literal,,
http://data.rvdata.us/id/cruise/HOT-005,uri,,,HOT-005,literal,,,10.7284/906974,literal,,
http://data.rvdata.us/id/cruise/HOT-006,uri,,,HOT-006,literal,,,10.7284/906975,literal,,
http://data.rvdata.us/id/cruise/HOT-007,uri,,,HOT-007,literal,,,10.7284/906976,literal,,
http://data.rvdata.us/id/cruise/HOT-008,uri,,,HOT-008,literal,,,10.7284/906977,literal,,
http://data.rvdata.us/id/cruise/HOT-009,uri,,,HOT-009,literal,,,10.7284/906978,literal,,
http://data.rvdata.us/id/cruise/HOT-010,uri,,,HOT-010,literal,,,10.7284/906979,literal,,
http://data.rvdata.us/id/cruise/HOT-012,uri,,,HOT-012,literal,,,10.7284/906981,literal,,
http://data.rvdata.us/id/cruise/HOT-013,uri,,,HOT-013,literal,,,10.7284/906982,literal,,
http://data.rvdata.us/id/cruise/HOT-014,uri,,,HOT-014,literal,,,10.7284/906983,literal,,
http://data.rvdata.us/id/cruise/HOT-015,uri,,,HOT-015,literal,,,10.7284/906984,literal,,
http://data.rvdata.us/id/cruise/HOT-016,uri,,,HOT-016,literal,,,10.7284/906985,literal,,
http://data.rvdata.us/id/cruise/HOT-017,uri,,,HOT-017,literal,,,10.7284/906986,literal,,
http://data.rvdata.us/id/cruise/HOT-018,uri,,,HOT-018,literal,,,10.7284/906987,literal,,
http://data.rvdata.us/id/cruise/HOT-019,uri,,,HOT-019,literal,,,10.7284/906988,literal,,
http://data.rvdata.us/id/cruise/HOT-020,uri,,,HOT-020,literal,,,10.7284/906989,literal,,
http://data.rvdata.us/id/cruise/HOT-021,uri,,,HOT-021,literal,,,10.7284/906990,literal,,
http://data.rvdata.us/id/cruise/HOT-022,uri,,,HOT-022,literal,,,10.7284/906991,literal,,
http://data.rvdata.us/id/cruise/HOT-023,uri,,,HOT-023,literal,,,10.7284/906992,literal,,
http://data.rvdata.us/id/cruise/HOT-024,uri,,,HOT-024,literal,,,10.7284/906993,literal,,
http://data.rvdata.us/id/cruise/HOT-025,uri,,,HOT-025,literal,,,10.7284/906994,literal,,
http://data.rvdata.us/id/cruise/HOT-026,uri,,,HOT-026,literal,,,10.7284/906995,literal,,
http://data.rvdata.us/id/cruise/HOT-027,uri,,,HOT-027,literal,,,10.7284/906996,literal,,
http://data.rvdata.us/id/cruise/HOT-028,uri,,,HOT-028,literal,,,10.7284/906997,literal,,
http://data.rvdata.us/id/cruise/HOT-029,uri,,,HOT-029,literal,,,10.7284/906998,literal,,
http://data.rvdata.us/id/cruise/HOT-030,uri,,,HOT-030,literal,,,10.7284/906999,literal,,
http://data.rvdata.us/id/cruise/HOT-031,uri,,,HOT-031,literal,,,10.7284/907000,literal,,
http://data.rvdata.us/id/cruise/HOT-032,uri,,,HOT-032,literal,,,10.7284/907001,literal,,
http://data.rvdata.us/id/cruise/HOT-033,uri,,,HOT-033,literal,,,10.7284/907002,literal,,
http://data.rvdata.us/id/cruise/HOT-034,uri,,,HOT-034,literal,,,10.7284/907003,literal,,
http://data.rvdata.us/id/cruise/HOT-035,uri,,,HOT-035,literal,,,10.7284/907004,literal,,
http://data.rvdata.us/id/cruise/HOT-036,uri,,,HOT-036,literal,,,10.7284/907005,literal,,
http://data.rvdata.us/id/cruise/HOT-037,uri,,,HOT-037,literal,,,10.7284/907006,literal,,
http://data.rvdata.us/id/cruise/HOT-039,uri,,,HOT-039,literal,,,10.7284/907008,literal,,
http://data.rvdata.us/id/cruise/HOT-040,uri,,,HOT-040,literal,,,10.7284/907009,literal,,
http://data.rvdata.us/id/cruise/HOT-041,uri,,,HOT-041,literal,,,10.7284/907010,literal,,
http://data.rvdata.us/id/cruise/HOT-042,uri,,,HOT-042,literal,,,10.7284/907011,literal,,
http://data.rvdata.us/id/cruise/HOT-043,uri,,,HOT-043,literal,,,10.7284/907012,literal,,
http://data.rvdata.us/id/cruise/HOT-044,uri,,,HOT-044,literal,,,10.7284/907013,literal,,
http://data.rvdata.us/id/cruise/HOT-045,uri,,,HOT-045,literal,,,10.7284/907014,literal,,
http://data.rvdata.us/id/cruise/HOT-046,uri,,,HOT-046,literal,,,10.7284/907015,literal,,
http://data.rvdata.us/id/cruise/HOT-047,uri,,,HOT-047,literal,,,10.7284/907016,literal,,
http://data.rvdata.us/id/cruise/HOT-048,uri,,,HOT-048,literal,,,10.7284/907017,literal,,
http://data.rvdata.us/id/cruise/HOT-049,uri,,,HOT-049,literal,,,10.7284/907018,literal,,
http://data.rvdata.us/id/cruise/HOT-050,uri,,,HOT-050,literal,,,10.7284/907019,literal,,
http://data.rvdata.us/id/cruise/HOT-051,uri,,,HOT-051,literal,,,10.7284/907020,literal,,
http://data.rvdata.us/id/cruise/HOT-052,uri,,,HOT-052,literal,,,10.7284/907021,literal,,
http://data.rvdata.us/id/cruise/HOT-053,uri,,,HOT-053,literal,,,10.7284/907022,literal,,
http://data.rvdata.us/id/cruise/HOT-054,uri,,,HOT-054,literal,,,10.7284/907023,literal,,
http://data.rvdata.us/id/cruise/HOT-055,uri,,,HOT-055,literal,,,10.7284/907024,literal,,
http://data.rvdata.us/id/cruise/HOT-056,uri,,,HOT-056,literal,,,10.7284/907025,literal,,
http://data.rvdata.us/id/cruise/HOT-057,uri,,,HOT-057,literal,,,10.7284/907026,literal,,
http://data.rvdata.us/id/cruise/HOT-058,uri,,,HOT-058,literal,,,10.7284/907027,literal,,
http://data.rvdata.us/id/cruise/HOT-059,uri,,,HOT-059,literal,,,10.7284/907028,literal,,
http://data.rvdata.us/id/cruise/HOT-060,uri,,,HOT-060,literal,,,10.7284/907029,literal,,
http://data.rvdata.us/id/cruise/HOT-061,uri,,,HOT-061,literal,,,10.7284/907030,literal,,
http://data.rvdata.us/id/cruise/HOT-062,uri,,,HOT-062,literal,,,10.7284/907031,literal,,
http://data.rvdata.us/id/cruise/HOT-063,uri,,,HOT-063,literal,,,10.7284/907032,literal,,
http://data.rvdata.us/id/cruise/HOT-065,uri,,,HOT-065,literal,,,10.7284/907033,literal,,
http://data.rvdata.us/id/cruise/HOT-066,uri,,,HOT-066,literal,,,10.7284/907034,literal,,
http://data.rvdata.us/id/cruise/HOT-067,uri,,,HOT-067,literal,,,10.7284/907035,literal,,
http://data.rvdata.us/id/cruise/HOT-068,uri,,,HOT-068,literal,,,10.7284/907036,literal,,
http://data.rvdata.us/id/cruise/HOT-069,uri,,,HOT-069,literal,,,10.7284/907037,literal,,
http://data.rvdata.us/id/cruise/HOT-070,uri,,,HOT-070,literal,,,10.7284/907038,literal,,
http://data.rvdata.us/id/cruise/HOT-071,uri,,,HOT-071,literal,,,10.7284/907039,literal,,
http://data.rvdata.us/id/cruise/HOT-072,uri,,,HOT-072,literal,,,10.7284/907040,literal,,
http://data.rvdata.us/id/cruise/HOT-073,uri,,,HOT-073,literal,,,10.7284/907041,literal,,
http://data.rvdata.us/id/cruise/HOT-074,uri,,,HOT-074,literal,,,10.7284/907042,literal,,
http://data.rvdata.us/id/cruise/HOT-075,uri,,,HOT-075,literal,,,10.7284/907043,literal,,
http://data.rvdata.us/id/cruise/HOT-076,uri,,,HOT-076,literal,,,10.7284/907044,literal,,
http://data.rvdata.us/id/cruise/HOT-077,uri,,,HOT-077,literal,,,10.7284/907045,literal,,
http://data.rvdata.us/id/cruise/HOT-078,uri,,,HOT-078,literal,,,10.7284/907046,literal,,
http://data.rvdata.us/id/cruise/HOT-079,uri,,,HOT-079,literal,,,10.7284/907047,literal,,
http://data.rvdata.us/id/cruise/HOT-080,uri,,,HOT-080,literal,,,10.7284/907048,literal,,
http://data.rvdata.us/id/cruise/HOT-081,uri,,,HOT-081,literal,,,10.7284/907049,literal,,
http://data.rvdata.us/id/cruise/HOT-082,uri,,,HOT-082,literal,,,10.7284/907050,literal,,
http://data.rvdata.us/id/cruise/HOT-083,uri,,,HOT-083,literal,,,10.7284/907051,literal,,
http://data.rvdata.us/id/cruise/HOT-084,uri,,,HOT-084,literal,,,10.7284/907052,literal,,
http://data.rvdata.us/id/cruise/HOT-085,uri,,,HOT-085,literal,,,10.7284/907053,literal,,
http://data.rvdata.us/id/cruise/HOT-086,uri,,,HOT-086,literal,,,10.7284/907054,literal,,
http://data.rvdata.us/id/cruise/HOT-088,uri,,,HOT-088,literal,,,10.7284/907056,literal,,
http://data.rvdata.us/id/cruise/HOT-089,uri,,,HOT-089,literal,,,10.7284/907057,literal,,
